epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.89480,26.00000,30.00000,16271
1,1,0.89143,28.00000,30.00000,291
1,2,0.90083,33.00000,25.00000,264
1,3,0.90205,25.00000,25.00000,127
1,4,0.91044,46.00000,20.00000,142
1,5,0.90409,26.00000,25.00000,186
1,6,0.90324,38.00000,24.00000,197
1,7,0.90161,39.00000,25.00000,234
1,8,0.89795,39.00000,25.00000,197
1,9,0.90594,41.00000,25.00000,184
1,10,0.89908,35.00000,25.00000,177
1,11,0.89582,28.00000,30.00000,192
1,12,0.89891,36.00000,25.00000,247
1,13,0.90926,46.00000,20.00000,310
1,14,0.91588,43.00000,20.00000,271
1,15,0.89582,38.00000,25.00000,288
1,16,0.90670,47.00000,20.00000,136
1,17,0.89967,33.00000,25.00000,126
1,18,0.89939,38.00000,25.00000,193
1,19,0.90515,34.00000,25.00000,121
1,20,0.89958,44.00000,24.00000,204
1,21,0.89992,26.00000,25.00000,212
1,22,0.89969,37.00000,25.00000,214
1,23,0.89777,30.00000,25.00000,196
1,24,0.89261,30.00000,30.00000,148
1,25,0.90390,38.00000,24.00000,134
1,26,0.89472,41.00000,24.00000,178
1,27,0.88802,28.00000,30.00000,193
1,28,0.90990,41.00000,24.00000,297
1,29,0.90782,41.00000,24.00000,212
1,30,0.89255,28.00000,30.00000,189
1,31,0.90802,44.00000,20.00000,246
1,32,0.89945,37.00000,25.00000,191
1,33,0.90743,34.00000,24.00000,126
1,34,0.89312,37.00000,25.00000,225
1,35,0.89487,29.00000,30.00000,220
1,36,0.90272,38.00000,25.00000,304
1,37,0.89786,42.00000,24.00000,185
1,38,0.89645,32.00000,25.00000,224
1,39,0.89740,39.00000,25.00000,222
1,40,0.90406,47.00000,20.00000,239
1,41,0.90419,37.00000,25.00000,247
1,42,0.89714,34.00000,30.00000,161
1,43,0.89496,37.00000,24.00000,175
1,44,0.89945,40.00000,25.00000,198
1,45,0.90470,45.00000,20.00000,243
1,46,0.89450,30.00000,30.00000,253
1,47,0.90399,37.00000,24.00000,289
1,48,0.90950,41.00000,20.00000,267
1,49,0.90352,31.00000,25.00000,124
1,50,0.90169,37.00000,25.00000,166
1,51,0.90723,45.00000,20.00000,125
1,52,0.90010,39.00000,24.00000,216
1,53,0.89702,34.00000,25.00000,225
1,54,0.90167,39.00000,24.00000,210
1,55,0.90477,43.00000,24.00000,276
1,56,0.90405,41.00000,24.00000,295
1,57,0.90360,39.00000,24.00000,194
1,58,0.90612,41.00000,20.00000,245
1,59,0.89944,35.00000,25.00000,203
1,60,0.90779,45.00000,20.00000,418
1,61,0.89253,30.00000,30.00000,325
1,62,0.89673,40.00000,24.00000,377
1,63,0.90500,35.00000,25.00000,303
1,64,0.90380,44.00000,20.00000,134
epoch,itr,loss,mask-A,mask-B,time (ms)
1,0,0.89480,26.00000,30.00000,19951
1,1,0.84190,26.00000,25.00000,149
1,2,0.79903,33.00000,25.00000,198
1,3,0.76816,43.00000,20.00000,193
1,4,0.73374,41.00000,24.00000,258
1,5,0.70752,25.00000,30.00000,196
1,6,0.68941,26.00000,25.00000,204
1,7,0.67314,39.00000,25.00000,214
1,8,0.64825,39.00000,25.00000,133
1,9,0.64939,41.00000,25.00000,131
1,10,0.62802,35.00000,25.00000,202
1,11,0.62083,34.00000,25.00000,210
1,12,0.60451,49.00000,20.00000,149
1,13,0.59090,27.00000,30.00000,156
1,14,0.58431,38.00000,25.00000,147
1,15,0.57099,44.00000,20.00000,192
1,16,0.54707,30.00000,25.00000,201
1,17,0.51792,39.00000,24.00000,79
1,18,0.49806,38.00000,25.00000,133
1,19,0.48793,27.00000,30.00000,185
1,20,0.48686,44.00000,24.00000,184
1,21,0.49149,47.00000,20.00000,270
1,22,0.47354,37.00000,25.00000,199
1,23,0.45981,25.00000,30.00000,277
1,24,0.45718,39.00000,24.00000,210
1,25,0.44797,34.00000,25.00000,128
1,26,0.44147,30.00000,25.00000,127
1,27,0.42645,28.00000,30.00000,192
1,28,0.43806,31.00000,25.00000,217
1,29,0.43598,34.00000,25.00000,236
1,30,0.43166,44.00000,20.00000,253
1,31,0.41081,26.00000,30.00000,221
1,32,0.41769,37.00000,25.00000,134
